,strdate,dttime,B8m,B8kd.min,B8kd.max,kde.flag,T865m,T865.kd.min,T865.kd.max
0,20160425T134227,2016-04-25 13:42:27,,,,False,,,
1,20160428T140436,2016-04-28 14:04:36,,,,False,,,
2,20160429T133846,2016-04-29 13:38:46,,,,False,,,
3,20160502T140055,2016-05-02 14:00:55,0.05821304177777778,0.05390179,0.05821304177777778,True,0.34085739666666665,0.3212598483333333,0.3632545966666667
4,20160503T133505,2016-05-03 13:35:05,,,,False,,,
5,20160506T135714,2016-05-06 13:57:14,0.09746419394438385,0.061537523,0.14725181,True,0.09775113904362051,0.3265091883333333,0.14409448775
6,20160507T133124,2016-05-07 13:31:24,,,,False,,,
7,20160510T135333,2016-05-10 13:53:33,0.09683867039205703,0.05701468,0.14492629999999998,True,0.15825648975784115,0.27926509,0.24656917887142857
8,20160511T132743,2016-05-11 13:27:43,,,,False,,,
9,20160514T134952,2016-05-14 13:49:52,0.095349297,0.092172004,0.18283029,True,0.147230984790899,0.1447967643130221,0.13963254379999998
10,20160515T132401,2016-05-15 13:24:01,,,,False,,,
11,20160517T141201,2016-05-17 14:12:01,,,,False,,,
12,20160518T134611,2016-05-18 13:46:11,0.09017719688481675,0.06439406,0.09017719688481675,True,0.16689615270732985,0.4367454044444445,0.1459242047084892
13,20160521T140819,2016-05-21 14:08:19,,,,False,,,
14,20160522T134229,2016-05-22 13:42:29,0.0841694786434159,0.08332774,0.14501786,True,0.23841739296427641,0.24548132171877726,0.20839895316666665
15,20160525T140438,2016-05-25 14:04:38,,,,False,,,
16,20160526T133847,2016-05-26 13:38:47,0.09537711832926829,0.09537711832926829,0.15171972,True,0.20649125964634144,0.21404971216993465,0.091338584
17,20160529T140056,2016-05-29 14:00:56,,,,False,,,
18,20160530T133505,2016-05-30 13:35:05,0.08680942665473144,0.08680942665473144,0.08680942665473144,True,0.11591517738772379,0.12052612669886363,0.10431647765843373
19,20160602T135714,2016-06-02 13:57:14,0.11674551,,,False,0.10708661400000001,,
20,20160603T133124,2016-06-03 13:31:24,,,,False,,,
21,20160606T135333,2016-06-06 13:53:33,0.08163377200379507,0.07882321,0.13328044,True,0.16876391270588237,0.171399972025,0.1465150191925926
22,20160607T132743,2016-06-07 13:27:43,0.09204101312,0.09204101312,0.11729484,True,0.03890924135747369,0.03641053460474137,0.1443092352909091
23,20160610T134952,2016-06-10 13:49:52,0.0868426087241888,0.0868426087241888,0.16312754,True,0.09057673067433629,0.08630113870122326,0.3107611502888889
24,20160611T132401,2016-06-11 13:24:01,,,,False,,,
25,20160613T141201,2016-06-13 14:12:01,,,,False,,,
26,20160614T134611,2016-06-14 13:46:11,0.09243423486022515,0.09121983,0.15448470000000003,True,0.1399713390249531,0.13698007249781932,0.2645669245454546
27,20160617T140820,2016-06-17 14:08:20,,,,False,,,
28,20160618T134230,2016-06-18 13:42:30,0.09290710317391304,0.0776513,0.09290710317391304,True,0.03323062852657004,0.055547601363636366,0.03203149583
29,20160621T140308,2016-06-21 14:03:08,,,,False,,,
30,20160621T140508,2016-06-21 14:05:08,,,,False,,,
31,20160622T133849,2016-06-22 13:38:49,,,,False,,,
32,20160625T140058,2016-06-25 14:00:58,,,,False,,,
33,20160626T133507,2016-06-26 13:35:07,0.08659724243529413,0.06419264,0.08659724243529413,True,0.14148772525552944,0.2148731383333333,0.12954919064175824
34,20160629T135716,2016-06-29 13:57:16,0.07631077179861111,0.07631077179861111,0.07755974,True,0.03451443565277777,0.03451443565277777,0.033184982260869564
35,20160630T133126,2016-06-30 13:31:26,0.08395562308970589,0.08395562308970589,0.103708,True,0.06667901777147059,0.06589282693404255,0.08053993285714287
36,20160703T135335,2016-07-03 13:53:35,0.08374279,0.08363903,0.08374279,True,0.4892388433333334,0.4892388433333334,0.4892388433333334
37,20160704T132744,2016-07-04 13:27:44,0.08684215523573201,0.08684215523573201,0.09026765,True,0.05131591765409429,0.05131591765409429,0.04327046296976744
38,20160707T134953,2016-07-07 13:49:53,0.08967340811616162,0.08967340811616162,0.14970550000000002,True,0.07665950821979799,0.07376554542616823,0.16587926388
39,20160708T132402,2016-07-08 13:24:02,,,,False,,,
40,20160710T141202,2016-07-10 14:12:02,,,,False,,,
41,20160711T134611,2016-07-11 13:46:11,0.09202446646559632,0.08332774,0.13959777,True,0.21446218150642202,0.21053618133035715,0.22326209055428578
42,20160714T140820,2016-07-14 14:08:20,,,,False,,,
43,20160715T134229,2016-07-15 13:42:29,0.08678162474475525,0.08374889999999999,0.10288399999999999,True,0.1569076579398601,0.17891300022357723,0.018712366611764706
44,20160718T140438,2016-07-18 14:04:38,,,,False,,,
45,20160719T133847,2016-07-19 13:38:47,0.08877388643786982,0.08877388643786982,0.15312968,True,0.17166285994142014,0.17084406342679126,0.1616797854333333
46,20160722T140056,2016-07-22 14:00:56,0.07952043921230768,0.06285592,0.08039796,True,0.18128164609846154,0.31689884307692306,0.1750774690064516
47,20160723T133506,2016-07-23 13:35:06,0.08648771450140057,0.08648771450140057,0.08808863,True,0.18539447123977593,0.1862767138483965,0.18269741840064307
48,20160726T135715,2016-07-26 13:57:15,0.07828326448300282,0.07828326448300282,0.07828326448300282,True,0.052044344099150146,0.052044344099150146,0.05159954985857143
49,20160727T133124,2016-07-27 13:31:24,0.08715946878149101,0.08034303,0.08715946878149101,True,0.04953545295218508,0.05955853839344262,0.04907526056434108
50,20160730T135333,2016-07-30 13:53:33,0.07323371735999999,0.055531483,0.07323371735999999,True,0.12960179889714288,0.21795275600000003,0.1271397279260355
51,20160731T132743,2016-07-31 13:27:43,0.07787957621666666,0.07787957621666666,0.08118534,True,0.12272965703333334,0.12272965703333334,0.11338582514285715
52,20160803T134952,2016-08-03 13:49:52,0.07731063358783784,0.07731063358783784,0.07731063358783784,True,0.07940899230637066,0.07979206433611652,0.0779208232090999
53,20160804T132401,2016-08-04 13:24:01,,,,False,,,
54,20160806T141201,2016-08-06 14:12:01,,,,False,,,
55,20160807T134610,2016-08-07 13:46:10,0.07923234505019305,0.07874996,0.07923234505019305,True,0.06477974016988418,0.06272198408460039,0.0640213278543307
56,20160810T140819,2016-08-10 14:08:19,,,,False,,,
57,20160811T134229,2016-08-11 13:42:29,0.068802565492,0.068802565492,0.068802565492,True,0.29321574623999996,0.29603674362500004,0.29330867878542505
58,20160814T140437,2016-08-14 14:04:37,,,,False,,,
59,20160815T133847,2016-08-15 13:38:47,0.08116488881016949,0.08116488881016949,0.13234657,True,0.17689043020237288,0.17914211688916085,0.19737532833333335
60,20160818T140056,2016-08-18 14:00:56,,,,False,,,
61,20160819T133505,2016-08-19 13:35:05,0.07864498029696969,0.07829218,0.07864498029696969,True,0.21564940528888887,0.21639877440082644,0.21455222437344398
62,20160822T135731,2016-08-22 13:57:31,,,,False,,,
63,20160823T133127,2016-08-23 13:31:27,0.0797585108235294,0.0797585108235294,0.0797585108235294,True,0.2578971715686274,0.2578971715686274,0.2578971715686274
64,20160826T135213,2016-08-26 13:52:13,0.08089416503821138,0.08089416503821138,0.08089416503821138,True,0.1806747316780488,0.18122983908585444,0.17166861881114012
65,20160827T132809,2016-08-27 13:28:09,0.112350844,,,False,0.0062992126,,
66,20160830T134855,2016-08-30 13:48:55,0.07964103156164384,0.07964103156164384,0.07964103156164384,True,0.1277424219166096,0.12959429326367713,0.12390777967553093
67,20160831T132251,2016-08-31 13:22:51,,,,False,,,
68,20160902T141144,2016-09-02 14:11:44,,,,False,,,
69,20160903T134540,2016-09-03 13:45:40,,,,False,,,
70,20160906T140830,2016-09-06 14:08:30,,,,False,,,
71,20160907T134226,2016-09-07 13:42:26,0.08193242064312267,0.080910675,0.13013093,True,0.2973040980118959,0.30574415614754097,0.19564612971764705
72,20160910T140316,2016-09-10 14:03:16,,,,False,,,
73,20160911T133913,2016-09-11 13:39:13,,,,False,,,
74,20160914T140002,2016-09-14 14:00:02,,,,False,,,
75,20160915T133359,2016-09-15 13:33:59,,,,False,,,
76,20160918T135649,2016-09-18 13:56:49,0.08627880940169133,0.0682577,0.08627880940169133,True,0.19664729898520084,0.4402449666666667,0.1899019185745614
77,20160919T133046,2016-09-19 13:30:46,0.10512730264583332,0.09731743,0.1444319,True,0.17755905314791667,0.20149404166666665,0.07384076956666667
78,20160922T135335,2016-09-22 13:53:35,0.08437506234338357,0.0664449,0.08437506234338357,True,0.1674883590879397,0.338582675,0.16460210384965634
79,20160923T132732,2016-09-23 13:27:32,,,,False,,,
80,20160926T135021,2016-09-26 13:50:21,0.0877147165014045,0.0877147165014045,0.09004792,True,0.2618154454564607,0.2707091502429907,0.23462424196428572
81,20160927T132418,2016-09-27 13:24:18,,,,False,,,
82,20160929T141111,2016-09-29 14:11:11,,,,False,,,
83,20160930T134507,2016-09-30 13:45:07,0.09551649418518517,0.09551649418518517,0.09563281,True,0.48410614893703713,0.49312137415094354,0.47762852730588234
84,20161003T140756,2016-10-03 14:07:56,,,,False,,,
85,20161004T134152,2016-10-04 13:41:52,0.10615250700000001,0.10615250700000001,0.14943083,True,0.2567827650657658,0.2542709727586207,0.03989501235555556
86,20161007T140441,2016-10-07 14:04:41,,,,False,,,
87,20161008T133837,2016-10-08 13:38:37,0.10919536261594202,0.10211494,0.13575244,True,0.19958157220338163,0.24124484194444448,0.10393700693333335
88,20161011T140125,2016-10-11 14:01:25,,,,False,,,
89,20161012T133521,2016-10-12 13:35:21,0.10603944166666665,0.10603944166666665,0.10603944166666665,True,0.22587176300190479,0.2315740204950495,0.22587176300190479
90,20161015T135609,2016-10-15 13:56:09,0.1057813709047619,0.10526445,0.1057813709047619,True,0.2842644650793651,0.28621730407506707,0.2827046064075067
91,20161016T133004,2016-10-16 13:30:04,0.14221625999999998,,,False,0.0220472438,,
92,20161016T133204,2016-10-16 13:32:04,,,,False,,,
93,20161019T135251,2016-10-19 13:52:51,0.10630965821341463,0.10630965821341463,0.15345928,True,0.3428941785899391,0.3494175192113565,0.0677165337
94,20161020T132647,2016-10-20 13:26:47,,,,False,,,
95,20161023T134933,2016-10-23 13:49:33,0.1433227717857143,0.101382494,0.14516434,True,0.1265091856047619,0.5711286,0.10185090455584417
96,20161024T132328,2016-10-24 13:23:28,,,,False,,,
97,20161026T141218,2016-10-26 14:12:18,,,,False,,,
98,20161027T134614,2016-10-27 13:46:14,,,,False,,,
99,20161030T140658,2016-10-30 14:06:58,,,,False,,,
100,20161031T134253,2016-10-31 13:42:53,,,,False,,,
101,20161103T140337,2016-11-03 14:03:37,,,,False,,,
102,20161104T133732,2016-11-04 13:37:32,0.12176309090740742,0.10951262,0.12176309090740742,True,0.23668708041358025,0.30750559807339445,0.1851586741111111
103,20161107T140016,2016-11-07 14:00:16,,,,False,,,
104,20161108T133410,2016-11-08 13:34:10,,,,False,,,
105,20161111T135653,2016-11-11 13:56:53,0.1382889651201923,0.09043245,0.1382889651201923,True,0.06744397327403846,0.5921259875,0.050048967666666666
106,20161112T133047,2016-11-12 13:30:47,,,,False,,,
107,20161115T135328,2016-11-15 13:53:28,0.10766673402985075,0.10766673402985075,0.13862728,True,0.3088024421705757,0.3213692014907408,0.05826771658333333
108,20161116T132722,2016-11-16 13:27:22,,,,False,,,
109,20161119T135002,2016-11-19 13:50:02,0.11921160181324279,0.11758782,0.15999635,True,0.29164605489337864,0.2932467361678832,0.10843644515714283
110,20161120T132355,2016-11-20 13:23:55,,,,False,,,
111,20161122T141041,2016-11-22 14:10:41,,,,False,,,
112,20161123T134634,2016-11-23 13:46:34,0.15419338909090904,0.15419338909090904,0.16039918,True,0.13571940023636364,0.13571940023636364,0.044094487825
113,20161126T140712,2016-11-26 14:07:12,,,,False,,,
114,20161127T134104,2016-11-27 13:41:04,,,,False,,,
115,20161130T140340,2016-11-30 14:03:40,,,,False,,,
116,20161201T133732,2016-12-01 13:37:32,,,,False,,,
117,20161204T140007,2016-12-04 14:00:07,,,,False,,,
118,20161205T133359,2016-12-05 13:33:59,,,,False,,,
119,20161208T135632,2016-12-08 13:56:32,0.11016693446616542,0.11016693446616542,0.15045625,True,0.3288378399548872,0.37690785947867295,0.08019973068292684
120,20161209T133023,2016-12-09 13:30:23,,,,False,,,
121,20161212T135255,2016-12-12 13:52:55,,,,False,,,
122,20161213T132646,2016-12-13 13:26:46,0.15805536,0.15805536,0.15805537,True,0.1301837233333333,0.1301837233333333,0.1301837233333333
123,20161216T134916,2016-12-16 13:49:16,,,,False,,,
124,20161217T132307,2016-12-17 13:23:07,,,,False,,,
125,20161219T141146,2016-12-19 14:11:46,,,,False,,,
126,20161220T134536,2016-12-20 13:45:36,0.15661201705882352,0.14644612,0.15661201705882352,True,0.2693839732823529,0.39341445818181814,0.24161979684285712
127,20161223T140804,2016-12-23 14:08:04,,,,False,,,
128,20161224T134153,2016-12-24 13:41:53,0.14946745,,,False,0.0,,
129,20161227T140419,2016-12-27 14:04:19,,,,False,,,
130,20161228T133808,2016-12-28 13:38:08,0.17028154846153848,0.16021608,0.17028154846153848,True,0.049909144307692305,0.06362204508,0.005249343833333334
131,20161231T140032,2016-12-31 14:00:32,,,,False,,,
132,20170101T133419,2017-01-01 13:34:19,,,,False,,,
133,20170104T135641,2017-01-04 13:56:41,,,,False,,,
134,20170105T133029,2017-01-05 13:30:29,,,,False,,,
135,20170108T135249,2017-01-08 13:52:49,,,,False,,,
136,20170109T132636,2017-01-09 13:26:36,,,,False,,,
137,20170112T134854,2017-01-12 13:48:54,,,,False,,,
138,20170113T132240,2017-01-13 13:22:40,,,,False,,,
139,20170115T141111,2017-01-15 14:11:11,,,,False,,,
140,20170116T134457,2017-01-16 13:44:57,0.17424696125,0.17424696125,0.18863492,True,0.09685039315,0.12913385753333334,0.00251968504
141,20170119T140712,2017-01-19 14:07:12,,,,False,,,
142,20170120T134257,2017-01-20 13:42:57,,,,False,,,
143,20170123T140311,2017-01-23 14:03:11,,,,False,,,
144,20170123T140511,2017-01-23 14:05:11,,,,False,,,
145,20170124T133855,2017-01-24 13:38:55,0.17260104,0.17019562,0.17260104,True,0.002863278454545455,0.0031496063000000006,0.002863278454545455
146,20170127T140107,2017-01-27 14:01:07,,,,False,,,
147,20170128T133451,2017-01-28 13:34:51,,,,False,,,
148,20170131T135701,2017-01-31 13:57:01,,,,False,,,
149,20170201T133044,2017-02-01 13:30:44,,,,False,,,
150,20170204T135253,2017-02-04 13:52:53,,,,False,,,
151,20170205T132636,2017-02-05 13:26:36,,,,False,,,
152,20170208T134843,2017-02-08 13:48:43,,,,False,,,
153,20170209T132426,2017-02-09 13:24:26,,,,False,,,
154,20170211T141050,2017-02-11 14:10:50,,,,False,,,
155,20170212T134632,2017-02-12 13:46:32,,,,False,,,
156,20170215T140837,2017-02-15 14:08:37,,,,False,,,
157,20170216T134219,2017-02-16 13:42:19,,,,False,,,
158,20170219T140424,2017-02-19 14:04:24,,,,False,,,
159,20170220T133805,2017-02-20 13:38:05,0.1303984713888889,0.1303984713888889,0.1303984713888889,True,0.13753280598888887,0.1754780621428571,0.13753280598888887
160,20170223T140009,2017-02-23 14:00:09,,,,False,,,
161,20170224T133351,2017-02-24 13:33:51,,,,False,,,
162,20170227T135554,2017-02-27 13:55:54,,,,False,,,
163,20170228T133135,2017-02-28 13:31:35,,,,False,,,
164,20170303T135339,2017-03-03 13:53:39,0.11574239831092437,0.11574239831092437,0.12764062,True,0.22433666320840343,0.28023420102564106,0.16750178896666665
165,20170304T132720,2017-03-04 13:27:20,,,,False,,,
166,20170307T134923,2017-03-07 13:49:23,0.16885892,,,False,0.0062992126,,
167,20170308T132304,2017-03-08 13:23:04,,,,False,,,
168,20170310T141125,2017-03-10 14:11:25,,,,False,,,
169,20170311T134507,2017-03-11 13:45:07,,,,False,,,
170,20170314T140709,2017-03-14 14:07:09,,,,False,,,
171,20170315T134250,2017-03-15 13:42:50,,,,False,,,
172,20170318T140454,2017-03-18 14:04:54,,,,False,,,
173,20170319T133836,2017-03-19 13:38:36,,,,False,,,
174,20170322T140040,2017-03-22 14:00:40,,,,False,,,
175,20170323T133422,2017-03-23 13:34:22,0.13560009854166666,0.10396436,0.13560009854166666,True,0.1494313199527778,0.43464566749999994,0.11074422059032256
176,20170326T135626,2017-03-26 13:56:26,,,,False,,,
177,20170327T133008,2017-03-27 13:30:08,,,,False,,,
178,20170330T135213,2017-03-30 13:52:13,0.11032285035097493,0.10986053,0.11032285035097493,True,0.06371153435320336,0.06445880802447762,0.05681139359498433
179,20170331T132755,2017-03-31 13:27:55,,,,False,,,
180,20170403T135000,2017-04-03 13:50:00,0.10145252557860082,0.10145252557860082,0.13809626,True,0.32803603047489716,0.33883658095992547,0.13732283569999998
181,20170404T132342,2017-04-04 13:23:42,,,,False,,,
182,20170406T141206,2017-04-06 14:12:06,,,,False,,,
183,20170407T134548,2017-04-07 13:45:48,0.12773174686046512,0.12773174686046512,0.12817164,True,0.16685588589767442,0.17161513220975608,0.16331860838048778
184,20170410T140754,2017-04-10 14:07:54,,,,False,,,
185,20170411T134137,2017-04-11 13:41:37,0.10897648051836735,0.10897648051836735,0.15351420000000002,True,0.15708179228857144,0.1671995165791183,0.10897637745
186,20170414T140344,2017-04-14 14:03:44,,,,False,,,
187,20170415T133726,2017-04-15 13:37:26,,,,False,,,
188,20170415T133926,2017-04-15 13:39:26,,,,False,,,
189,20170418T135934,2017-04-18 13:59:34,,,,False,,,
190,20170418T140134,2017-04-18 14:01:34,,,,False,,,
191,20170419T133517,2017-04-19 13:35:17,,,,False,,,
192,20170422T135725,2017-04-22 13:57:25,0.08165360540528635,0.08165360540528635,0.08165360540528635,True,0.07750528927841412,0.07776461516902655,0.07581961287363635
193,20170423T133130,2017-04-23 13:31:30,,,,False,,,
194,20170426T135339,2017-04-26 13:53:39,0.07769952805357143,0.07769952805357143,0.12090213,True,0.1974128219732143,0.1955720223882353,0.357795282
195,20170427T132748,2017-04-27 13:27:48,0.08596715514285715,0.08574480599999999,0.08596715514285715,True,0.06929133900000002,0.06929133900000002,0.06929133900000002
196,20170430T134959,2017-04-30 13:49:59,0.0729024128919708,0.0729024128919708,0.12699974,True,0.19738145722218978,0.20509463419420787,0.20922384421428572
197,20170501T132408,2017-05-01 13:24:08,,,,False,,,
198,20170503T141208,2017-05-03 14:12:08,,,,False,,,
199,20170504T134618,2017-05-04 13:46:18,0.06977902255737706,0.06664632,0.06977902255737706,True,0.255169742295082,0.2746719147916667,0.24596925285714288
200,20170507T140827,2017-05-07 14:08:27,,,,False,,,
201,20170508T134237,2017-05-08 13:42:37,,,,False,,,
202,20170511T140447,2017-05-11 14:04:47,,,,False,,,
203,20170512T133857,2017-05-12 13:38:57,0.0856719979047619,0.07505112,0.12460098,True,0.2531683511904762,0.2566929092857143,0.24006999222222225
204,20170515T140106,2017-05-15 14:01:06,,,,False,,,
205,20170516T133516,2017-05-16 13:35:16,,,,False,,,
206,20170519T135725,2017-05-19 13:57:25,0.06365651827237354,0.06365651827237354,0.10993378,True,0.13732038272996108,0.13688132642767856,0.25826771625
207,20170520T133135,2017-05-20 13:31:35,0.07496253443243242,0.07496253443243242,0.07496253443243242,True,0.07916577961081081,0.07829021330285715,0.05151855984285714
208,20170523T135344,2017-05-23 13:53:44,,,,False,,,
209,20170524T132754,2017-05-24 13:27:54,0.080910675,,,False,0.16377953,,
210,20170527T135003,2017-05-27 13:50:03,0.06337185657098765,0.06337185657098765,0.06419264,True,0.05745115149753087,0.05881991978961038,0.05677718332508361
211,20170528T132412,2017-05-28 13:24:12,,,,False,,,
212,20170530T141212,2017-05-30 14:12:12,,,,False,,,
213,20170531T134622,2017-05-31 13:46:22,,,,False,,,
214,20170603T140831,2017-06-03 14:08:31,,,,False,,,
215,20170604T134240,2017-06-04 13:42:40,0.06494205286516853,0.056904815,0.0667745,True,0.027143236077528093,0.0251968503125,0.027644026235971224
216,20170607T140449,2017-06-07 14:04:49,,,,False,,,
217,20170608T133859,2017-06-08 13:38:59,,,,False,,,
218,20170611T140108,2017-06-11 14:01:08,0.07081678970731708,0.07081678970731708,0.07457503,True,0.1330516607804878,0.14395553470588235,0.0990694336969697
219,20170612T133517,2017-06-12 13:35:17,0.07700135781368822,0.042036198,0.0792993,True,0.17168348177186313,0.21102362,0.1654788494232558
220,20170615T135726,2017-06-15 13:57:26,0.06250110820391062,0.06250110820391062,0.06349681,True,0.1289051150620112,0.14567978906866666,0.10572105006713287
221,20170616T133135,2017-06-16 13:31:35,0.07852141632258064,0.06930143400000001,0.07852141632258064,True,0.11397979686352361,0.13330072858385095,0.10340707386666667
222,20170619T135344,2017-06-19 13:53:44,0.07331782736787565,0.07331782736787565,0.074977875,True,0.05085063835336788,0.055700571590410954,0.0487297576553459
223,20170620T132753,2017-06-20 13:27:53,0.07765819675813952,0.07765819675813952,0.07765819675813952,True,0.025372642233488372,0.025372642233488372,0.024283464431
224,20170623T135002,2017-06-23 13:50:02,,,,False,,,
225,20170624T132411,2017-06-24 13:24:11,,,,False,,,
226,20170626T141211,2017-06-26 14:12:11,,,,False,,,
227,20170627T134621,2017-06-27 13:46:21,0.07934581438623853,0.07934581438623853,0.14759973,True,0.11405042190458715,0.11591162684174758,0.15013123433333334
228,20170630T140829,2017-06-30 14:08:29,,,,False,,,
229,20170701T134239,2017-07-01 13:42:39,,,,False,,,
